"id","name_raw","name","query","source","mb_recording_id","mb_recording_url","original_artist","first_release_year","score","confidence","note"
"db53a7ca-1e4d-4cfd-82de-331e8615c3b3","Drunk text","Drunk text","Drunk text","MusicBrainz","d83d68f7-c540-4de2-9313-e607296260d5","https://musicbrainz.org/recording/d83d68f7-c540-4de2-9313-e607296260d5","Henry Moodie","2023","100","medium","Matched by title exact-phrase, top score"
"b9d7250c-8b60-4b42-adba-135c01a5fa32","à¸«à¸¡à¸”à¸«à¹ˆà¸§à¸‡","หมดห่วง","หมดห่วง","MusicBrainz",,,"ไม่พบข้อมูล","ไม่พบข้อมูล",,"low","No recording matches"
"37b56530-7423-4b76-bcf1-c303d89b968b","à¹ƒà¸ˆà¹€à¸«à¸¥à¸·à¸­à¹†","ใจเหลือๆ","ใจเหลือๆ","MusicBrainz",,,"ไม่พบข้อมูล","ไม่พบข้อมูล",,"low","No recording matches"
"223db5df-d327-43c1-8b77-7bb6da46f5e3","à¹€à¸¥à¹ˆà¸²à¸ªà¸¹à¹ˆà¸à¸±à¸™à¸Ÿà¸±à¸‡","เล่าสู่กันฟัง","เล่าสู่กันฟัง","MusicBrainz","e0002128-6153-40aa-b14e-bd882fc0a3eb","https://musicbrainz.org/recording/e0002128-6153-40aa-b14e-bd882fc0a3eb","เบิร์ด ธงไชย","2008","100","medium","Matched by title exact-phrase, top score"
"b45a1025-4138-40fb-ba08-514c48385107","à¹€à¸«à¸‡à¸²à¹†","เหงาๆ","เหงาๆ","MusicBrainz",,,"ไม่พบข้อมูล","ไม่พบข้อมูล",,"low","No recording matches"
"3ff6f0c2-3515-49fd-8c0b-a9860c724684","à¸‰à¸±à¸™à¹€à¸¥à¸§","ฉันเลว","ฉันเลว","MusicBrainz",,,"ไม่พบข้อมูล","ไม่พบข้อมูล",,"low","No recording matches"
"6fb8320e-0c3b-487e-bb86-e5bc62f7b643","Ticktock","Ticktock","Ticktock","MusicBrainz","c5647b47-d168-42d2-82c8-f4d424f83162","https://musicbrainz.org/recording/c5647b47-d168-42d2-82c8-f4d424f83162","Owen Ovadoz","2018","100","medium","Matched by title exact-phrase, top score"
"d6403d43-55b9-4a35-86da-a36e3f38a27e","à¹„à¸¡à¹ˆà¸ªà¸¡à¸¨à¸±à¸à¸”à¸´à¹Œà¸¨à¸£à¸µ","ไม่สมศักดิ์ศรี","ไม่สมศักดิ์ศรี","MusicBrainz",,,"ไม่พบข้อมูล","ไม่พบข้อมูล",,"low","No recording matches"
"a0e36c47-1df1-47e4-8291-74e1ec8ea3a0","à¸žà¸µà¹ˆà¸Šà¸­à¸šà¸«à¸™à¸¹à¸—à¸µà¹ˆà¸ªà¸¸à¸”à¹€à¸¥à¸¢","พี่ชอบหนูที่สุดเลย","พี่ชอบหนูที่สุดเลย","MusicBrainz",,,"ไม่พบข้อมูล","ไม่พบข้อมูล",,"low","No recording matches"
"412f74e7-c471-4b3f-b9b6-7641ef1280ba","Donâ€™t it make my brown","Don’t it make my brown","Don’t it make my brown","MusicBrainz","4f6dff4a-fb3b-497a-8764-978287140ceb","https://musicbrainz.org/recording/4f6dff4a-fb3b-497a-8764-978287140ceb","Crystal Gayle","1994","100","medium","Matched by title exact-phrase, top score"
"89fbf1b5-984a-4004-aff5-e186f3b89d47","à¸¢à¸²à¸¢à¹à¸¥à¹ˆà¸¡","ยายแล่ม","ยายแล่ม","MusicBrainz",,,"ไม่พบข้อมูล","ไม่พบข้อมูล",,"low","No recording matches"
"2a7b0df1-7b99-424a-afdc-3636fd2d3623","à¹à¸­à¸šà¹€à¸«à¸‡à¸²","แอบเหงา","แอบเหงา","MusicBrainz","bc990f65-f062-49c9-9a82-9fc23585666e","https://musicbrainz.org/recording/bc990f65-f062-49c9-9a82-9fc23585666e","ไม่พบข้อมูล","ไม่พบข้อมูล","100","low","Error: The property 'date' cannot be found on this object. Verify that the property exists."
"eb502b36-f066-4ab9-ae92-b73bffb43d0c","à¹„à¸«à¸‡à¹ˆà¸‡à¹ˆà¸­à¸‡","ไหง่ง่อง","ไหง่ง่อง","MusicBrainz",,,"ไม่พบข้อมูล","ไม่พบข้อมูล",,"low","No recording matches"
"39c2bf3d-cb19-4e3a-9e95-2a8202ca5505","à¸Šà¹ˆà¸§à¸¢à¹„à¸¡à¹ˆà¹„à¸”à¹‰(mola mola)","ช่วยไม่ได้(mola mola)","ช่วยไม่ได้","MusicBrainz",,,"ไม่พบข้อมูล","ไม่พบข้อมูล",,"low","No recording matches"
"664b0d46-4c94-44a3-b5f0-b22529d10859","à¸šà¸¹à¸¡à¹€à¸¡à¸­à¹à¸£à¸‡ (à¹‚à¸™à¸¡à¸­à¹€à¸—à¸µà¸¢)","บูมเมอแรง (โนมอเทีย)","บูมเมอแรง","MusicBrainz","be18489c-7914-4517-a476-4220bef6b64d","https://musicbrainz.org/recording/be18489c-7914-4517-a476-4220bef6b64d","No More Tear","2009","100","medium","Matched by title exact-phrase, top score"
"7cdd27ce-b1b3-492c-a548-3e361429cfa6","à¸ªà¹ˆà¸§à¸™à¸•à¹ˆà¸²à¸‡","ส่วนต่าง","ส่วนต่าง","MusicBrainz","095db882-645f-4aec-ab29-dc83a2efa8c0","https://musicbrainz.org/recording/095db882-645f-4aec-ab29-dc83a2efa8c0","BOWKYLION","2024","100","medium","Matched by title exact-phrase, top score"
"2619f03d-f69f-44b9-820d-f3638b884702","à¹€à¸ªà¸µà¸¢à¹ƒà¸ˆà¹„à¸”à¹‰à¸¢à¸´à¸™à¹„à¸«à¸¡","เสียใจได้ยินไหม","เสียใจได้ยินไหม","MusicBrainz","87e722e0-782f-4133-8afd-4e4c1686f7ca","https://musicbrainz.org/recording/87e722e0-782f-4133-8afd-4e4c1686f7ca","ไม่พบข้อมูล","ไม่พบข้อมูล","100","low","No release dates found"
"cdc756bd-6b2e-462b-b843-8e8b521612f7","Stand by me","Stand by me","Stand by me","MusicBrainz","fd0373a9-14d7-4b7c-b4c6-22be87ca6434","https://musicbrainz.org/recording/fd0373a9-14d7-4b7c-b4c6-22be87ca6434","Royal Philharmonic Orchestra","2010","100","medium","Matched by title exact-phrase, top score"
"799aea47-36d3-407b-a7ec-58e8dcfd6ab0","à¹€à¸ªà¸µà¸¢à¸‡à¸‚à¸­à¸‡à¸«à¸±à¸§à¹ƒà¸ˆ","เสียงของหัวใจ","เสียงของหัวใจ","MusicBrainz",,,"ไม่พบข้อมูล","ไม่พบข้อมูล",,"low","No recording matches"
"b850945e-7519-42b5-8614-625d97a0785b","à¹€à¸®à¸­à¹„à¸¡à¹‚à¸­à¸™à¹‰à¸­à¸‡","เฮอไมโอน้อง","เฮอไมโอน้อง","MusicBrainz",,,"ไม่พบข้อมูล","ไม่พบข้อมูล",,"low","No recording matches"
